# MPC_PARAMS wheelbase_m=1.04 forward_speed_kmh=3 prediction_horizon=15 dt=0.1 use_dbm=1 w_d=1 w_theta=0.5 w_kappa=0.05 w_u=0.2 w_xy=2 w_psi=1 w_vx=0.5 w_vy=0.3 w_omega=0.3 w_delta_c=0.1 w_u_delta=0.2 w_u_torque=1e-05 mass_kg=150 inertia_kgm2=120 lf_m=0.52 lr_m=0.52 Ca_N_rad=25000 Cx_N=30000 mu=0.8
timestamp_sec,x_m,y_m,yaw_deg,vx_mps,vy_mps,omega_rads,ref_x_m,ref_y_m,ref_yaw_deg,ref_kappa,cte_m,heading_err_deg,cmd_steer_deg,cmd_speed_pwm,cmd_torque,mpc_cost,nearest_idx,path_size,path_progress,dist_to_goal_m,path_len_m
1774691921.1286,11.727403,-42.752104,61.501276,0.0413,0.0383,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.032349,-161.8076,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.0948,97.1538
1774691921.1786,11.726633,-42.749073,61.485195,0.0495,0.0412,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.029615,-161.8237,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.0954,97.1538
1774691921.2286,11.725865,-42.745615,61.474112,0.0552,0.0434,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.026572,-161.8348,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.0964,97.1538
1774691921.2786,11.725312,-42.753364,61.472216,0.0378,0.0340,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.031832,-161.8367,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.0923,97.1538
1774691921.3286,11.724627,-42.750559,61.467667,0.0471,0.0389,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.029320,-161.8412,2.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.0930,97.1538
1774691921.3787,11.724531,-42.755091,61.455321,0.0390,0.0308,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.032552,-161.8536,2.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.0909,97.1538
1774691921.4286,11.724061,-42.752363,61.443289,0.0485,0.0335,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.030245,-161.8656,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.0917,97.1538
1774691921.4786,11.723642,-42.749050,61.426923,0.0584,0.0384,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.027547,-161.8820,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.0928,97.1538
1774691921.5286,11.723125,-42.745226,61.411058,0.0638,0.0437,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.024410,-161.8978,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.0943,97.1538
1774691921.5786,11.730303,-42.745062,61.416418,0.0655,0.0276,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.029214,-161.8925,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1006,97.1538
1774691921.6286,11.730615,-42.741224,61.403586,0.0750,0.0287,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.026636,-161.9053,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1027,97.1538
1774691921.6786,11.730937,-42.736894,61.381984,0.0820,0.0348,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.023705,-161.9269,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1053,97.1538
1774691921.7286,11.731334,-42.732158,61.370783,0.0897,0.0351,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.020532,-161.9381,3.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1082,97.1538
1774691921.7786,11.735209,-42.738408,61.370109,0.0764,0.0187,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.027737,-161.9388,3.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1081,97.1538
1774691921.8286,11.736094,-42.734288,61.352372,0.0844,0.0247,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.025346,-161.9565,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1110,97.1538
1774691921.8786,11.731700,-42.737972,61.337077,0.0678,0.0285,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.025013,-161.9718,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1054,97.1538
1774691921.9286,11.732100,-42.734046,61.331008,0.0755,0.0279,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.022430,-161.9779,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1078,97.1538
1774691921.9786,11.732545,-42.729717,61.321831,0.0832,0.0327,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.019586,-161.9871,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1106,97.1538
1774691922.0286,11.732981,-42.724959,61.308627,0.0904,0.0360,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.016422,-162.0003,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1138,97.1538
1774691922.0786,11.733364,-42.719720,61.294493,0.0971,0.0413,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.012872,-162.0144,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1173,97.1538
1774691922.1286,11.733784,-42.714004,61.284658,0.1073,0.0417,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.009002,-162.0242,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1213,97.1538
1774691922.1786,11.734138,-42.707861,61.276907,0.1140,0.0506,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.004775,-162.0320,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1257,97.1538
1774691922.2287,11.734445,-42.701133,61.269326,0.1251,0.0524,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.000089,-162.0396,3.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1306,97.1538
1774691922.2786,11.728140,-42.730511,61.267456,0.0621,0.0330,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.017142,-162.0414,3.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1066,97.1538
1774691922.3286,11.728116,-42.726755,61.257989,0.0682,0.0358,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.014392,-162.0509,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1088,97.1538
1774691922.3786,11.728067,-42.722611,61.245856,0.0745,0.0366,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.011343,-162.0630,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1114,97.1538
1774691922.4286,11.728007,-42.718090,61.244369,0.0824,0.0431,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.008012,-162.0645,2.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1143,97.1538
1774691922.4786,11.726189,-42.733187,61.240094,0.0523,0.0294,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.017751,-162.0688,2.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1034,97.1538
1774691922.5286,11.726126,-42.729902,61.228116,0.0602,0.0308,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.015317,-162.0808,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1053,97.1538
1774691922.5786,11.726128,-42.726216,61.219449,0.0673,0.0342,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.012636,-162.0895,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1076,97.1538
1774691922.6286,11.726113,-42.722138,61.206878,0.0744,0.0359,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.009659,-162.1020,3.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1102,97.1538
1774691922.6786,11.732766,-42.733946,61.219783,0.0554,0.0118,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.022814,-162.0891,3.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1084,97.1538
1774691922.7286,11.733409,-42.730934,61.210597,0.0620,0.0171,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.021064,-162.0983,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1106,97.1538
1774691922.7786,11.734033,-42.727464,61.199276,0.0697,0.0231,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.018967,-162.1096,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1131,97.1538
1774691922.8286,11.734612,-42.723554,61.188946,0.0767,0.0231,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.016519,-162.1200,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1159,97.1538
1774691922.8786,11.737025,-42.733876,61.187369,0.0563,0.0096,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.025686,-162.1215,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1120,97.1538
1774691922.9286,11.737789,-42.730916,61.184020,0.0628,0.0137,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.024054,-162.1249,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1143,97.1538
1774691922.9786,11.738691,-42.727560,61.171568,0.0705,0.0145,0.0000,11.711606,-42.722539,-136.691099,-1.578674,0.022232,-162.1373,-0.0000,0.0000,0.000000,0.000000,751,755,0.9965,0.1169,97.1538
